candidate_id,process_grade,market_reaction_grade,settlement_result,paper_net_pnl_cents,outcome_bucket,likely_loss_reason_guess
837,bad_process,neutral,loss,-34,bad_process_loss,bad_logic
838,bad_process,neutral,unknown,,unknown,
839,questionable_process,neutral,loss,-34,bad_process_loss,bad_logic
840,bad_process,neutral,loss,-9,bad_process_loss,bad_logic
841,bad_process,neutral,unknown,,unknown,
842,questionable_process,neutral,unknown,,unknown,
843,sound_process,neutral,unknown,,unknown,
844,questionable_process,neutral,unknown,,unknown,
845,bad_process,neutral,loss,-9,bad_process_loss,bad_logic
846,questionable_process,neutral,unknown,,unknown,
847,bad_process,neutral,unknown,,unknown,
848,bad_process,neutral,unknown,,unknown,
849,questionable_process,neutral,unknown,,unknown,
850,bad_process,neutral,unknown,,unknown,
851,sound_process,neutral,unknown,,unknown,
852,questionable_process,neutral,loss,-9,bad_process_loss,bad_logic
853,bad_process,neutral,unknown,,unknown,
854,questionable_process,neutral,loss,-9,bad_process_loss,bad_logic
855,bad_process,neutral,unknown,,unknown,
856,questionable_process,neutral,unknown,,unknown,
857,bad_process,neutral,unknown,,unknown,
858,bad_process,neutral,unknown,,unknown,
859,questionable_process,neutral,win,52,bad_process_win,
860,bad_process,neutral,unknown,,unknown,
861,questionable_process,neutral,unknown,,unknown,
862,bad_process,neutral,unknown,,unknown,
863,sound_process,neutral,unknown,,unknown,
864,questionable_process,neutral,win,52,bad_process_win,
865,questionable_process,neutral,unknown,,unknown,
866,questionable_process,neutral,unknown,,unknown,
867,questionable_process,neutral,unknown,,unknown,
868,questionable_process,neutral,unknown,,unknown,
869,questionable_process,neutral,win,52,bad_process_win,
870,questionable_process,neutral,unknown,,unknown,
871,questionable_process,neutral,unknown,,unknown,
872,bad_process,neutral,unknown,,unknown,
873,questionable_process,neutral,win,52,bad_process_win,
874,questionable_process,neutral,unknown,,unknown,
875,bad_process,neutral,unknown,,unknown,
876,bad_process,neutral,unknown,,unknown,
877,questionable_process,neutral,unknown,,unknown,
878,questionable_process,neutral,unknown,,unknown,
879,bad_process,neutral,unknown,,unknown,
880,bad_process,neutral,unknown,,unknown,
881,questionable_process,neutral,unknown,,unknown,
882,sound_process,neutral,unknown,,unknown,
883,questionable_process,neutral,unknown,,unknown,
884,questionable_process,neutral,win,52,bad_process_win,
885,bad_process,neutral,push,0,bad_process_loss,
886,questionable_process,neutral,unknown,,unknown,
887,sound_process,neutral,unknown,,unknown,
888,bad_process,neutral,unknown,,unknown,
889,questionable_process,neutral,win,52,bad_process_win,
890,bad_process,neutral,push,0,bad_process_loss,
891,questionable_process,neutral,unknown,,unknown,
892,bad_process,neutral,unknown,,unknown,
893,questionable_process,neutral,unknown,,unknown,
894,questionable_process,neutral,unknown,,unknown,
895,questionable_process,neutral,win,52,bad_process_win,
896,questionable_process,neutral,unknown,,unknown,
897,questionable_process,neutral,unknown,,unknown,
898,questionable_process,neutral,unknown,,unknown,
899,bad_process,neutral,unknown,,unknown,
900,questionable_process,neutral,win,52,bad_process_win,
901,questionable_process,neutral,unknown,,unknown,
902,bad_process,neutral,unknown,,unknown,
903,questionable_process,neutral,win,52,bad_process_win,
904,questionable_process,neutral,unknown,,unknown,
905,questionable_process,neutral,unknown,,unknown,
906,questionable_process,neutral,win,52,bad_process_win,
907,questionable_process,neutral,win,52,bad_process_win,
908,questionable_process,neutral,unknown,,unknown,
909,bad_process,neutral,unknown,,unknown,
910,questionable_process,neutral,unknown,,unknown,
911,questionable_process,neutral,unknown,,unknown,
912,questionable_process,neutral,win,52,bad_process_win,
913,questionable_process,neutral,unknown,,unknown,
914,bad_process,neutral,unknown,,unknown,
915,questionable_process,neutral,win,52,bad_process_win,
916,bad_process,neutral,unknown,,unknown,
917,bad_process,neutral,unknown,,unknown,
918,questionable_process,neutral,unknown,,unknown,
919,questionable_process,neutral,unknown,,unknown,
920,bad_process,neutral,unknown,,unknown,
921,questionable_process,neutral,unknown,,unknown,
922,bad_process,neutral,unknown,,unknown,
923,questionable_process,neutral,unknown,,unknown,
924,questionable_process,neutral,unknown,,unknown,
925,bad_process,neutral,unknown,,unknown,
926,sound_process,neutral,unknown,,unknown,
927,questionable_process,neutral,unknown,,unknown,
928,sound_process,neutral,unknown,,unknown,
929,bad_process,neutral,unknown,,unknown,
930,bad_process,neutral,unknown,,unknown,
931,bad_process,neutral,unknown,,unknown,
932,sound_process,neutral,unknown,,unknown,
933,questionable_process,neutral,unknown,,unknown,
934,bad_process,neutral,unknown,,unknown,
935,questionable_process,neutral,unknown,,unknown,
936,questionable_process,neutral,unknown,,unknown,
937,questionable_process,neutral,unknown,,unknown,
938,questionable_process,neutral,unknown,,unknown,
939,questionable_process,neutral,unknown,,unknown,
940,bad_process,neutral,unknown,,unknown,
941,questionable_process,neutral,unknown,,unknown,
942,questionable_process,neutral,unknown,,unknown,
943,questionable_process,neutral,unknown,,unknown,
944,bad_process,neutral,unknown,,unknown,
945,questionable_process,neutral,unknown,,unknown,
946,questionable_process,neutral,unknown,,unknown,
947,bad_process,neutral,unknown,,unknown,
948,bad_process,neutral,unknown,,unknown,
949,questionable_process,neutral,unknown,,unknown,
950,questionable_process,neutral,unknown,,unknown,
951,bad_process,neutral,unknown,,unknown,
952,bad_process,neutral,unknown,,unknown,
953,questionable_process,neutral,unknown,,unknown,
954,bad_process,neutral,unknown,,unknown,
955,questionable_process,neutral,unknown,,unknown,
