season,game_pk,game_date,game_id,team,opponent,home_away,outcome,actual_outcome,positive_rule_count,negative_rule_count,positive_score,negative_score,net_score,top_positive_rules,top_negative_rules,validation_mode,test_season
2023,718781,2023-03-30,SF@NYY,NYY,SF,home,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718781,2023-03-30,SF@NYY,NYY,SF,home,team_early_deficit_scored_next2,0,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BAL,BOS,away,team_won,1,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BAL,BOS,away,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BAL,BOS,away,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BAL,BOS,away,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BOS,BAL,home,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BOS,BAL,home,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BOS,BAL,home,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718782,2023-03-30,BAL@BOS,BOS,BAL,home,team_early_deficit_scored_next2,1,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,MIL,CHC,away,team_won,0,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,MIL,CHC,away,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,MIL,CHC,away,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,MIL,CHC,away,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,CHC,MIL,home,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,CHC,MIL,home,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,CHC,MIL,home,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718777,2023-03-30,MIL@CHC,CHC,MIL,home,team_early_deficit_scored_next2,0,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,DET,TB,away,team_won,0,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,DET,TB,away,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,DET,TB,away,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,DET,TB,away,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,TB,DET,home,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,TB,DET,home,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,TB,DET,home,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718776,2023-03-30,DET@TB,TB,DET,home,team_early_deficit_scored_next2,0,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,PHI,TEX,away,team_won,0,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,PHI,TEX,away,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,PHI,TEX,away,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,PHI,TEX,away,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,TEX,PHI,home,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,TEX,PHI,home,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,TEX,PHI,home,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718779,2023-03-30,PHI@TEX,TEX,PHI,home,team_early_deficit_scored_next2,1,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,TOR,STL,away,team_won,1,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,TOR,STL,away,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,TOR,STL,away,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,TOR,STL,away,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,STL,TOR,home,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,STL,TOR,home,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,STL,TOR,home,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718772,2023-03-30,TOR@STL,STL,TOR,home,team_early_deficit_scored_next2,1,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,PIT,CIN,away,team_won,1,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,PIT,CIN,away,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,PIT,CIN,away,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,PIT,CIN,away,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,CIN,PIT,home,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,CIN,PIT,home,game_total_9plus,1,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,CIN,PIT,home,f5_total_4plus,1,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718773,2023-03-30,PIT@CIN,CIN,PIT,home,team_early_deficit_scored_next2,0,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,NYM,MIA,away,team_won,1,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,NYM,MIA,away,team_runs_5plus,1,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,NYM,MIA,away,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,NYM,MIA,away,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,MIA,NYM,home,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,MIA,NYM,home,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,MIA,NYM,home,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718774,2023-03-30,NYM@MIA,MIA,NYM,home,team_early_deficit_scored_next2,0,2,0,0.0977,0,0.0977,home_away+opponent_strength_bucket=home__50_55(+0.051) | offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.047),,leave_one_season_out,2023
2023,718775,2023-03-30,MIN@KC,MIN,KC,away,team_won,1,0,2,0,-0.085,-0.085,,home_away+opponent_strength_bucket=away__50_55(-0.044) | starter_confidence=none(-0.041),leave_one_season_out,2023
2023,718775,2023-03-30,MIN@KC,MIN,KC,away,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
2023,718775,2023-03-30,MIN@KC,MIN,KC,away,game_total_9plus,0,12,0,0.6315,0,0.6315,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.089) | starter_xfip_gap_bucket=missing(+0.054) | starter_quality_gap_bucket=missing(+0.054) | starter_confidence=none(+0.048) | opponent_starter_confidence=none(+0.048),,leave_one_season_out,2023
2023,718775,2023-03-30,MIN@KC,MIN,KC,away,f5_total_4plus,0,12,1,0.5262,-0.051,0.4752,starter_xfip_gap_bucket=missing(+0.046) | starter_quality_gap_bucket=missing(+0.046) | starter_confidence=none(+0.043) | opponent_starter_confidence=none(+0.043) | opponent_starter_ra9_bucket=missing(+0.043),team_strength_bucket+opponent_strength_bucket=50_55__50_55(-0.051),leave_one_season_out,2023
2023,718775,2023-03-30,MIN@KC,KC,MIN,home,team_runs_5plus,0,10,0,0.5265,0,0.5265,offense_form_bucket+opponent_starter_ra9_bucket=50_55__missing(+0.071) | opponent_starter_confidence=none(+0.051) | opponent_starter_ra9_bucket=missing(+0.051) | opponent_starter_ip_bucket=missing(+0.051) | opponent_starter_kbb_bucket=missing(+0.051),,leave_one_season_out,2023
